racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card,Salary,full_name,Age,Height,Weight
1.0,Antoine,Dupont,France,Scrumhalf,27.0,1.74,86.0,2000.0,Toulouse,Top 14,14.0,11.0,0.0,3.0,9.0,6.0,30.0,866.0,champions cup,8.0,8.0,0.0,0.0,8.0,5.0,25.0,627.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,127.0,0,0,620000,Antoine Dupont,,,
2.0,Ardie,Savea,New Zealand,Backrow,30.0,1.9,103.0,2013.0,Wellington Hurricanes,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,0.0,4.0,13.0,6.0,30.0,918.0,1,0,440000,Ardie Savea,,,
3.0,Pieter-Steph,Du Toit,South Africa,Backrow,32.0,2.0,116.0,2013.0,Toyota Verblitz,Japan rugby leage,35.0,7.0,0.0,4.0,,2.0,10.0,,,,,,,,,,,12.0,10.0,0.0,2.0,12.0,3.0,15.0,856.0,1,0,550000,Pieter-Steph Du Toit,,,
4.0,Caelen,Doris,Ireland,Backrow,26.0,193.0,106.0,2017.0,Leinster,United Rugby Championship,7.0,5.0,0.0,2.0,6.0,1.0,5.0,382.0,champions cup,8.0,7.0,0.0,1.0,8.0,3.0,15.0,618.0,15.0,12.0,0.0,2.0,12.0,3.0,15.0,1069.0,1,0,380000,Caelen Doris,,,
5.0,Eben,Etzebeth,South Africa,Secondrow,32.0,2.03,126.0,2013.0,sharks,United Rugby Championship,7.0,4.0,0.0,3.0,7.0,1.0,5.0,383.0,Challenge Cup,6.0,5.0,0.0,1.0,5.0,1.0,5.0,324.0,12.0,10.0,0.0,2.0,11.0,1.0,5.0,603.0,2,0,650000,Eben Etzebeth,,,
6.0,Dan,Sheehan,Ireland,Hooker,25.0,1.91,110.0,2021.0,�Leinster Rugby,United Rugby Championship,10.0,8.0,0.0,2.0,5.0,5.0,25.0,401.0,Challenge Cup,8.0,7.0,0.0,1.0,8.0,3.0,15.0,457.0,10.0,7.0,0.0,3.0,9.0,6.0,30.0,502.0,0,0,275000,Dan Sheehan,,,
7.0,Damian,Penaud,France,Winger,27.0,1.88,97.0,2016.0,Bordeaux,Top 14,16.0,11.0,0.0,5.0,15.0,14.0,70.0,1133.0,champions cup,4.0,4.0,0.0,0.0,4.0,4.0,20.0,320.0,11.0,8.0,1.0,2.0,11.0,10.0,50.0,400.0,0,0,325000,Damian Penaud,,,
8.0,Will,Jordan,New Zealand,Utility Back,26.0,1.88,94.0,,Crusaders,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,4.0,9.0,10.0,50.0,633.0,1,0,400000,Will Jordan,,,
9.0,Cheslin,Kolbe,South Africa,Winger,30.0,1.71,76.0,2013.0,none,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,2.0,10.0,3.0,15.0,712.0,1,0,930000,Cheslin Kolbe,,,
10.0,Hugo,Keenan,Ireland,Fullback ,28.0,1.85,92.0,2016.0,Leinster Rugby,United Rugby Championship,4.0,3.0,0.0,1.0,4.0,0.0,0.0,320.0,Champions Cup,6.0,5.0,0.0,1.0,6.0,0.0,0.0,482.0,8.0,7.0,0.0,2.0,9.0,3.0,15.0,695.0,1,0,275000,Hugo Keenan,,,
